study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title
PRJNA255796	SAMN02929059	SRX658415	SRR1521890	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/000/SRR1521890/SRR1521890.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/000/SRR1521890	GSM1441310	H3K4me2_Mono.ucsc
PRJNA255796	SAMN02929059	SRX658415	SRR1521891	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/001/SRR1521891/SRR1521891.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/001/SRR1521891	GSM1441310	H3K4me2_Mono.ucsc
PRJNA255796	SAMN02929059	SRX658415	SRR1521892	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/002/SRR1521892/SRR1521892.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/002/SRR1521892	GSM1441310	H3K4me2_Mono.ucsc
PRJNA255796	SAMN02929060	SRX658416	SRR1521893	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/003/SRR1521893/SRR1521893.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/003/SRR1521893	GSM1441311	H3K4me2_MF.ucsc
PRJNA255796	SAMN02929060	SRX658416	SRR1521894	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/004/SRR1521894/SRR1521894.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/004/SRR1521894	GSM1441311	H3K4me2_MF.ucsc
PRJNA255796	SAMN02929060	SRX658416	SRR1521895	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/005/SRR1521895/SRR1521895.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/005/SRR1521895	GSM1441311	H3K4me2_MF.ucsc
PRJNA255796	SAMN02929061	SRX658417	SRR1521896	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/006/SRR1521896/SRR1521896.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/006/SRR1521896	GSM1441312	H3K4me2_B.ucsc
PRJNA255796	SAMN02929061	SRX658417	SRR1521897	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/007/SRR1521897/SRR1521897.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/007/SRR1521897	GSM1441312	H3K4me2_B.ucsc
PRJNA255796	SAMN02929062	SRX658418	SRR1521898	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/008/SRR1521898/SRR1521898.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/008/SRR1521898	GSM1441313	H3K4me2_NK.ucsc
PRJNA255796	SAMN02929062	SRX658418	SRR1521899	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR152/009/SRR1521899/SRR1521899.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR152/009/SRR1521899	GSM1441313	H3K4me2_NK.ucsc
